V1,V2,V3,V4,V5,V6,V7,V8,V9,label
62.9244,59.4595,24.438,55.07239296,2.2414,2.1518,0.00947899,0.22022531,0.117635171,0
53.0287,89.1205,40.0471,74.82999887,0.8618,0.7494,0.004565467,0.150575086,0.070453011,0
44.9314,125.6725,50.2383,79.21045028,0.691,0.4228,0.002880498,0.101483708,0.000564065,0
79.4783,33.2788,5.2333,21.78692289,1.3186,1.2868,0.010185305,0.042167381,0.256125851,0
33.9558,204.6298,60.2827,78.67292173,2.0666,1.1608,0.007011762,0.087003844,-0.810750101,0
27.8713,246.8483,55.2371,48.52833885,1.4279,1.932,0.0037593,0.054634923,0.000819526,0
44.0196,134.8688,4.6049,3.71263614,0.4688,0.497,0.002242827,0.111695665,0.004983649,0
32.9282,205.8174,42.8364,36.40784772,4.8701,1.8891,0.010678103,0.182846706,0.017100347,0
41.638,128.4322,49.3784,77.59773477,4.5467,2.2339,0.018222609,0.283355905,-0.214629447,0
46.7891,111.0924,39.4717,49.71535582,0.8482,0.6096,0.003833505,0.073079165,-0.065334543,0
35.6655,180.1755,52.9105,60.54035289,3.3861,1.3277,0.010392724,0.220893935,0.168765936,0
43.4826,130.7554,48.3862,65.4406229,6.5181,4.3967,0.026478824,0.241741525,-0.042652091,0
43.5616,130.2334,42.3402,66.68641078,2.2972,1.0475,0.009505189,0.139276945,0.014709449,0
58.1754,71.768,32.1523,66.32787493,0.2246,0.8744,0.00130573,0.060452897,-0.116693904,0
41.4862,138.6563,38.623,38.86573732,1.6103,1.6481,0.006745491,0.102433367,0.005463144,0
39.4283,153.2702,48.698,63.47105216,1.2928,0.6247,0.005075665,0.177282388,0.072508233,0
46.0681,121.2909,40.1383,57.75063212,1.0724,0.747,0.004825361,0.136666561,0.060701067,0
68.2155,42.913,22.2489,67.75338826,1.2792,1.1374,0.007547259,0.104759938,0.120034969,0
5.2259,2253.949,86.0556,39.95734284,9.1537,3.5495,0.018223352,0.111805671,0.013389307,0
47.7141,144.4415,33.767,47.69409978,0.4828,0.4602,0.002344404,0.065290233,0.003329698,0
36.5362,171.3645,56.6356,76.35312658,1.0922,1.7998,0.004028961,0.151586068,-0.076493537,0
60.5471,82.288,27.1894,40.36174393,0.2815,1.3385,0.003713169,0.082101065,0.043154065,0
22.4708,371.2964,60.6517,53.57453526,0.4949,3.3888,0.003381726,0.009916625,0.093162693,0
20.667,428.1019,55.8364,38.13357841,5.8862,2.8344,0.01871441,0.040503823,0.049478485,0
20.667,428.1019,55.8364,38.13357841,5.8862,2.8344,0.01871441,0.040503823,0.049478485,0
47.8477,111.6494,36.0091,52.12857498,0.5588,0.5746,0.002721892,0.067541002,0.015273774,0
20.93,608.154,53.6077,30.93869577,15.1316,7.1147,0.044091904,0.184500348,0.039385331,0
20.5896,402.638,59.645,40.90345307,18.0542,6.9892,0.040787417,0.249572987,-0.221141414,0
13.2422,569.1071,72.88,49.10678103,1.3372,2.8248,0.009330664,0.138589917,-0.001842464,0
39.3401,378.832,58.335,92.42270097,3.3204,4.5153,0.012791005,0.740139185,0.558389025,0
31.3244,174.0935,33.2296,27.22190218,9.9979,5.563,0.039663512,0.579736552,0.076893795,0
77.2863,28.6611,15.0746,61.40610145,0.9445,0.7281,0.006610953,0.192867106,-0.085555977,0
9.5476,-1592.2651,69.9149,16.82608659,5.7775,2.6614,0.013405186,0.021517077,0.023389705,0
22.4327,1408.7321,49.8536,31.76626358,12.5298,8.2154,0.041392007,0.071685114,0.324348659,0
7.7914,1239.5887,58.3969,12.99840469,-1.3471,1.7669,0.004375053,0.015970633,-0.0514433,0
20.667,428.1019,55.8364,38.13357841,5.8862,2.8344,0.01871441,0.040503823,0.049478485,0
20.667,428.1019,55.8364,38.13357841,5.8862,2.8344,0.01871441,0.040503823,0.049478485,0
47.8477,111.6494,36.0091,52.12857498,0.5588,0.5746,0.002721892,0.067541002,0.015273774,0
42.2935,135.7526,15.7369,14.09336152,6.8161,3.1465,0.028468949,0.06630068,0.171571091,0
20.8187,489.7157,58.271,40.08996638,4.753,3.7619,0.019441034,0.130328885,0.009446284,0
31.8119,572.1538,40.9882,30.87495934,21.6205,13.9924,0.069346164,0.088859627,0.512838861,0
20.93,608.154,53.6077,30.93869577,15.1316,7.1147,0.044091904,0.184500348,0.039385331,0
26.8499,269.7472,69.4607,88.97234998,1.4088,3.3863,0.002611338,0.035714436,0.680402816,0
22.9487,380.6089,37.05,17.95002365,8.731,5.3336,0.020184387,0.095210821,0.227346635,0
24.8231,-334.7226,65.8914,59.83498328,12.569,6.9868,0.030069643,0.229835016,0.245081446,0
20.937,399.4367,61.9612,51.51265642,3.836,4.1202,0.017415191,0.066739327,0.043554026,1
65.1933,74.5533,20.4076,48.18897417,10.5135,11.2818,0.064920126,0.103545213,0.367905797,1
17.3615,454.0493,59.8552,30.8569134,5.5157,2.7011,0.008908318,0.019076016,-0.057197286,1
2.5014,-287.064,92.9435,39.20441635,14.4015,3.8161,0.002756746,0.01066902,0.194004908,1
-23.6699,-327.8413,524.6845,24.27268343,8.967061233,4.7491,-0.02016296,-0.083717617,0.037186434,1
2.5553,-812.4244,85.1091,12.82837078,5.8836,9.749,0.056053668,0.060453892,0.205798625,1
39.8953,190.4936,37.8428,40.38708794,3.4461,4.1522,0.013379168,0.082590142,-0.046575351,1
8.7826,1314.5057,69.1338,22.22074961,2.4447,0.4007,0.00324604,0.030825383,0.16126883,1
-5.7313,-969.9601,132.8544,16.85718394,-16.02525721,-4.9113,-0.109555709,-0.773785646,0.05866627,1
11.932,946.5619,64.3179,23.94719506,-12.5292,-0.4844,-0.01599853,-0.073547627,-0.070488013,1
-17.1397,-431.1457,-7614.3866,4.428516543,-92.39439597,-12.9461,-0.18063684,-0.886639842,0.041831545,1
22.6637,487.8462,24.7669,10.08261322,-36.6918,-8.7381,-0.1257532,-0.802068595,-0.140730095,1
46.0799,-692.7562,38.4866,41.41681259,0.6097,1.834,0.004716872,0.011737101,0.00711039,1
46.8021,112.4404,47.8807,70.85519332,-5.2782,-0.5451,-0.028496466,-0.619648958,0.178750482,1
14.2987,893.4882,65.1336,33.69818314,3.5435,4.415,0.014944696,0.036987951,0.111098003,1
31.7642,245.3018,43.9893,33.53813369,-20.0456,-3.1188,-0.072077396,-0.406726533,0.10358474,1
-0.7955,-1066.5892,108.3613,10.54534424,-174.5184,-21.2557,-0.295254362,-1.014836,-0.065670439,1
7.8579,3728.2224,64.4635,17.33794455,-101.3664,-12.7746,-0.16738098,-0.955690371,0.070345333,1
45.1971,136.0322,17.3661,14.14824102,-4.8251,-0.1687,-0.02299454,-0.088889407,-0.101067911,1
18.3587,604.9368,16.1957,11.26353359,-105.755,-30.4353,-0.416648583,-2.931087511,-0.00202917,1
-6.2912,-568.5004,154.9408,9.696349398,-284.2454,-35.5538,-0.42916826,-0.701528477,-0.013565721,1
26.0564,328.8169,8.3181,4.285196502,-96.701,-37.7485,-0.486527609,-2.847416878,-0.001078543,1
-135.4548,-148.8193,-275.6677,37.50457246,-120.28599,-96.7884,-2.070981892,-2.614256199,0.095484121,1
15.3688,1825.6163,65.129,17.04809186,-508.3259,-19.0492,-0.432132318,-3.109944795,-0.009320679,1
-89.2448,-189.8303,-157.4374,7.368096881,-104.0054114,-43.9789,-1.028509449,-5.439108181,-0.053087882,1
12.6564,698.4947,37.356,19.34554487,-33.4961,-3.2397,-0.061086511,-0.714866272,-0.126736854,1
1.2419,12510.0672,94.0127,13.46469908,-183.2192,-17.9433,-0.289864131,-1.526584205,-0.043906704,1
20.0258,446.261,24.1558,3.984105371,-116.9204,-40.6484,-0.563787159,-5.46668429,0.002396273,1
42.1567,263.2387,36.3261,54.1002981,1.3711,6.1438,0.003873386,0.004371162,-0.566298636,1
-15.7317,-219.3512,-207.2619,10.42189264,-45.58979106,-6.1577,-0.111943855,-0.413742502,0.012380956,1
3.1327,-2623.5147,81.2941,26.6661959,-200.6018,-8.6491,-0.172339989,-33.88016284,-0.000304931,1
43.0834,137.246,33.4254,21.91505164,-45.9112,-19.7523,-0.256881969,-4.62050038,-0.083270415,1
25.5595,1771.9204,28.6865,7.517187204,-67.7528,-20.9863,-0.27895336,-1.014448422,0.068333488,1
9.6084,-229.9272,74.2372,41.35542668,-12.0773,3.2006,-0.010992665,-0.069481799,0.066151976,1
21.384,366.6417,13.7845,10.1457466,-62.7884,-16.1528,-0.223425227,-0.685194421,-0.078756896,1
-8.1113,-996.5309,287.8485,7.293800336,2.128124902,-9.9626,-0.1570071,-3.085085445,-0.007441998,1
-0.385,-24625.2339,279.325,32.21447639,-213.2276,-0.9232,-0.077110892,-12.22004411,-0.002352008,1
-41.2168,-195.618,650.1699,11.63223006,-148.5191474,-34.4182,-0.427475978,-5.645678599,0.048054623,1
-184.864,-152.2417,-43.4486,3.817057202,-129.4704553,-113.6331,-3.199699345,-51.66614453,0.010458972,1
12.8545,1612.5445,54.069,24.02688611,-70.7407,-9.3721,-0.154265389,-0.382141033,0.081706581,1
22.3413,-238.8186,57.1926,32.00779983,0.5853,4.2258,0.002618754,0.013161796,0.11230468,1
-8.2897,-837.3608,232.1339,12.81425563,-5.285422672,-5.3186,-0.126420048,-1.436328613,0.023480912,1
5.7843,-571.5037,73.8995,25.98925797,25.3257,3.5273,0.012341829,0.023102131,0.034330209,1
26.1029,297.416,22.6801,15.20785525,-30.3892,-8.4482,-0.093639222,-0.409462259,-0.328977666,1
16.619,585.7537,69.3291,48.01876569,6.0974,3.1236,0.001186052,0.001580583,0.166742223,1
29.4364,448.8923,30.9727,20.45011938,-8.9673,-1.93,-0.033332942,-0.070712932,0.114050947,1
3.0037,-1506.7702,89.6534,27.40546868,-26.1873,1.2336,-0.013231417,-0.042822139,0.030715226,1
42.302,151.4035,17.2911,15.5409118,25.3514,16.4729,0.112331292,0.152428495,0.393177261,1
44.4136,171.025,26.7296,32.69664721,4.1664,1.8973,0.018537667,0.055608744,-0.035551002,1
30.989,305.5933,7.3773,13.12450259,2.5448,7.1565,0.006758093,0.010307553,0.145305126,1
10.7647,-607.753,67.5744,11.85666712,-215.8109,-39.9093,-0.417474579,-0.387937461,-0.290027528,1
27.3713,349.1858,23.8853,17.14044518,1.2861,2.5892,0.00434028,0.008018257,0.092879016,1
0.213,3.7506,0.5873,0.534359124,5.96,4.52,0.02286604,0.134745842,-0.029910602,1
0.3602,2.2799,0.4073,0.354388897,0.54,1.98,0.000275676,0.003644501,0.035789334,1
0.0772,16.566,0.5873,0.408650846,-10.56,-0.66,-0.008620194,-0.702883878,-0.008895081,1
-0.244,-3.5288,-3.6731,0.920364748,-20.35661595,-4.65,-0.069601644,-0.697171796,-0.04848562,1
0.4627,-7.1042,0.3881,0.26831676,0.08,0.73,0.000485656,0.002121393,0.039867248,1
-0.0473,-5.8265,1.779,1.244725036,-349.34,-15.01,-0.211380202,-1.324597962,0.009619468,1
0.0729,-89.0225,0.7736,0.486886321,-72.61,-6.45,-0.083741634,-0.54422813,0.077174521,1
0.2953,2.6531,0.5593,0.518425392,-12.26,-1.23,-0.03856524,-0.597185226,0.04390556,1
0.0876,-3.8093,0.7484,3.462840886,-29.95,0.58,-0.028204509,-0.231619379,0.020763411,1
0.4529,1.5141,0.1749,0.33281193,-4.03,-0.38,-0.018549927,-0.265496902,0.027037368,1
0.04,-15.925,0.067,4.763370043,-93.52,-2.91,-0.072125215,-0.303433815,-0.011810689,1
0.1186,13.1792,0.2455,2.543200405,-52.1,-4.11,-0.08384666,-2.122570928,-0.001032917,1
0.3413,5.4528,0.0179,6.7292514,-5.52,0.78,-0.017817478,-0.081261237,0.070097456,1
0.1682,88.3991,0.7324,0.451499884,11.44891371,12.54,0.095733753,0.135333483,-0.005961225,1
0.0924,-29.8222,0.788,1.47467462,-65,-7.36,-0.092514561,-0.540334075,-0.160004381,1
0.1352,19.5769,0.627,0.709408914,-29.5,-2.81,-0.046789573,-2.550983064,0.000891904,1
-0.118,-9.2985,3.2153,0.597209673,-23.65694192,-11.34,-0.138912799,-2.550203547,-0.067581039,1
-0.4409,-3.0129,-0.5142,13.50634351,1.695444976,-1.03,-0.011340547,-0.144248092,-0.000527877,1
-0.0301,-8.7307,1.2882,3.068901369,-14582.48,-0.9,-0.061029849,-302.8019665,-8.40E-05,1
-1.235,-1.7073,-0.8877,30.56663389,3.440601677,-0.5,-0.084464634,-0.916372038,0.006672545,1
0.4027,1.5441,0.3581,0.477507667,-8.09,-1.28,-0.034066811,-1.135329278,-0.003415663,1
0.0862,-2.2821,0.7655,0.652076075,-9.29,0.99,-0.006637049,-0.057200867,0.053957565,1
0.3159,2.8732,0.4999,0.675175205,-0.75,-0.24,-0.002402411,-0.053596235,0.020573928,1
0.1834,4.461,0.1555,1.563938012,-17.49,-1.45,-0.038249986,-0.2300294,-0.004977683,1
-0.0487,-21.4731,-0.1651,2.455404344,0.731665523,-0.23,-0.043830515,-47.70973776,0.000980256,1
-1.2852,-1.7089,-16.8824,4.967350951,-17.38925883,-6.6,-0.108666571,-28.9579224,0.011933324,1
-0.5277,-1.8214,54.9174,1.890994533,-6.108991219,-4.67,-0.091211837,-1.996409516,0.014846087,1
0.1882,8.06,0.5135,1.328254484,18.87,6.43,0.030016472,0.133843393,0.051168287,1
-3.0066,-1.3438,-0.7806,2.76519939,-101.7195495,-12.71,-0.190346853,-4.341664555,0.001252532,1
0.2208,-2.3986,0.5807,0.621283889,0.84,2.61,0.002710462,0.018443136,0.080196371,1
0.0087,-4.0559,0.9499,0.985843032,-145.23,-3.82,-0.055271666,-0.120996711,-0.012776162,1
-2.7238,-1.3392,180.7495,2.664543238,-8.319756109,-2.95,-0.032081062,-0.435215371,7.13E-05,1
0.0177,-13.0251,0.9355,0.694880397,-53.12,0.57,-0.014875233,-0.072920757,0.017341525,1
0.3021,3.3023,0.1131,3.732443266,-2.28,3.67,-0.007330949,-0.016453894,0.088511938,1
0.0341,-10.0425,0.6091,117.4974233,-315.15,-19.15,-0.146924193,-0.26793376,-0.201054596,1
0.3142,2.9268,0.2821,1.388774207,-6.33,-0.35,-0.019653016,-0.056491926,0.014781172,1
